channel_model,param1,param2,k,n,depth,blocks,seed,block_recovery_rate,residual_packet_loss,encode_us_mean,encode_us_p99,decode_us_mean,decode_us_p99,interleaver_us_mean,interleaver_us_p99,peak_mem_bytes,latency_ms
periodic,10,1,8,12,1,10000,15101073321033496574,1.000000,0.000000,17.304,21.140,4.444,6.332,,,179136,17.160
periodic,20,1,8,12,1,10000,734699885367904249,1.000000,0.000000,17.436,21.300,4.466,5.090,,,179136,17.160
periodic,20,1,8,12,1,10000,4211095226099945924,1.000000,0.000000,17.358,21.270,4.447,5.240,,,179136,17.160
periodic,20,1,8,12,1,10000,16435365111697733088,1.000000,0.000000,17.510,21.671,4.486,6.612,,,179136,17.160
uniform,0.01,,8,12,2,10000,4959409812076644290,1.000000,0.000000,17.310,20.830,4.662,8.957,,,196800,29.320
uniform,0.01,,8,12,2,10000,13890427992222733445,1.000000,0.000000,17.481,21.261,4.848,9.158,,,196800,29.320
uniform,0.01,,8,12,2,10000,15201487656494518613,1.000000,0.000000,17.390,21.301,4.765,8.936,,,196800,29.320
uniform,0.05,,8,12,2,10000,9788490470041287948,0.999700,0.000125,17.341,21.240,5.240,13.075,,,196800,29.320
uniform,0.05,,8,12,2,10000,6802193928143874084,0.999800,0.000112,17.321,21.260,5.414,13.125,,,196800,29.320
uniform,0.05,,8,12,2,10000,17593376047385388227,0.999700,0.000112,17.391,21.240,5.268,13.135,,,196800,29.320
uniform,0.1,,8,12,2,10000,8226857876613277120,0.996300,0.001662,17.573,21.731,6.296,13.606,,,196800,29.320
uniform,0.1,,8,12,2,10000,370499095024154401,0.996600,0.001375,17.528,21.380,6.171,13.646,,,196800,29.320
uniform,0.1,,8,12,2,10000,1510278879716086916,0.996000,0.001713,17.495,21.781,6.236,15.689,,,196800,29.320
uniform,0.2,,8,12,2,10000,2836428315120278533,0.924200,0.033313,17.355,21.240,7.733,17.493,,,196800,29.320
uniform,0.2,,8,12,2,10000,12147308866205947659,0.926500,0.033075,17.456,21.351,7.865,17.654,,,196800,29.320
uniform,0.2,,8,12,2,10000,401411296077377378,0.927400,0.032637,17.564,21.761,7.888,17.593,,,196800,29.320
uniform,0.3,,8,12,2,10000,15622898619502831516,0.725700,0.127887,17.457,21.501,9.086,17.593,,,196800,29.320
uniform,0.3,,8,12,2,10000,2968069152817850167,0.724000,0.129625,17.437,21.431,9.155,17.704,,,196800,29.320
uniform,0.3,,8,12,2,10000,6131857487765795064,0.719200,0.131188,17.569,21.731,9.203,17.754,,,196800,29.320
ge,2,100,8,12,2,10000,12455481921278355789,0.998900,0.000525,17.482,21.631,6.001,17.563,,,196800,29.320
ge,2,100,8,12,2,10000,15613361901512625500,0.998700,0.000538,17.379,21.300,6.042,17.473,,,196800,29.320
ge,2,100,8,12,2,10000,8203585332658298892,0.999700,0.000063,17.367,21.180,5.943,17.433,,,196800,29.320
ge,5,100,8,12,2,10000,17072071809447833108,0.969300,0.017650,17.498,21.441,8.091,17.734,,,196800,29.320
ge,5,100,8,12,2,10000,6603360153045169540,0.963600,0.019938,17.431,21.341,8.327,17.864,,,196800,29.320
ge,5,100,8,12,2,10000,14363706017126727863,0.965300,0.019088,17.566,22.313,8.438,17.693,,,196800,29.320
ge,10,100,8,12,2,10000,17450071103506470890,0.908000,0.061225,17.350,21.391,9.235,19.908,,,196800,29.320
ge,10,100,8,12,2,10000,16260185020908320904,0.903500,0.060887,17.372,21.180,9.055,17.773,,,196800,29.320
ge,10,100,8,12,2,10000,16767957785317707209,0.905400,0.062000,17.483,21.380,9.371,17.854,,,196800,29.320
ge,20,100,8,12,2,10000,25190584354861513,0.809500,0.143150,17.454,21.400,10.192,18.255,,,196800,29.320
ge,20,100,8,12,2,10000,9204885224445862916,0.812000,0.142075,17.377,21.250,10.220,18.074,,,196800,29.320
ge,20,100,8,12,2,10000,14766463956440462569,0.816600,0.136700,17.338,21.230,9.870,17.744,,,196800,29.320
ge,2,1000,8,12,2,10000,8579735025454703038,0.999800,0.000100,17.454,21.451,6.166,17.713,,,196800,29.320
ge,2,1000,8,12,2,10000,6561254157110429571,1.000000,0.000000,17.458,21.340,6.015,13.696,,,196800,29.320
ge,2,1000,8,12,2,10000,410949857885299948,1.000000,0.000000,17.395,21.251,5.770,13.555,,,196800,29.320
ge,5,1000,8,12,2,10000,7364842887994936681,0.997600,0.001225,17.396,21.200,8.250,17.974,,,196800,29.320
ge,5,1000,8,12,2,10000,7817533889212259067,0.995600,0.002237,17.377,21.270,8.330,17.653,,,196800,29.320
ge,5,1000,8,12,2,10000,10353942501636667835,0.997400,0.001187,17.404,21.120,7.901,17.623,,,196800,29.320
ge,10,1000,8,12,2,10000,1870399417646796121,0.990000,0.005550,17.448,21.200,9.409,17.754,,,196800,29.320
ge,10,1000,8,12,2,10000,12983207030925713620,0.990600,0.006375,17.353,21.170,9.268,17.874,,,196800,29.320
ge,10,1000,8,12,2,10000,10637121105819468671,0.990400,0.006375,17.368,21.210,8.300,17.603,,,196800,29.320
ge,20,1000,8,12,2,10000,17967908698206224761,0.975900,0.018250,17.399,21.381,10.390,18.505,,,196800,29.320
ge,20,1000,8,12,2,10000,11206957826593186236,0.973100,0.020700,17.426,21.331,9.151,17.844,,,196800,29.320
ge,20,1000,8,12,2,10000,6368716346075050128,0.981400,0.013413,17.606,21.501,9.843,17.965,,,196800,29.320
periodic,5,1,8,12,2,10000,4121652808091405147,1.000000,0.000000,17.515,21.390,7.124,10.500,,,196800,29.320
periodic,5,1,8,12,2,10000,465183847025603874,1.000000,0.000000,17.385,21.180,7.071,10.009,,,196800,29.320
periodic,5,1,8,12,2,10000,12560626997507922263,1.000000,0.000000,17.499,21.370,7.126,10.500,,,196800,29.320
periodic,10,1,8,12,2,10000,998183819353684604,1.000000,0.000000,17.512,21.401,7.110,10.049,,,196800,29.320
periodic,10,1,8,12,2,10000,9841162411914489053,1.000000,0.000000,17.460,21.300,7.102,10.430,,,196800,29.320
periodic,10,1,8,12,2,10000,7356558411594439508,1.000000,0.000000,17.431,21.310,7.120,10.169,,,196800,29.320
periodic,20,1,8,12,2,10000,18075917544999933958,1.000000,0.000000,17.526,21.370,4.501,5.661,,,196800,29.320
periodic,20,1,8,12,2,10000,4449450166920220122,1.000000,0.000000,17.554,21.431,4.493,5.240,,,196800,29.320
periodic,20,1,8,12,2,10000,3835718846038952762,1.000000,0.000000,17.481,21.360,4.488,5.701,,,196800,29.320
uniform,0.01,,8,12,4,10000,16522878805558571796,1.000000,0.000000,17.410,21.220,4.632,8.997,,,232128,53.640
uniform,0.01,,8,12,4,10000,13911882483494241882,1.000000,0.000000,17.443,21.150,4.644,8.997,,,232128,53.640
uniform,0.01,,8,12,4,10000,13604510954101610738,1.000000,0.000000,17.479,21.270,4.676,8.987,,,232128,53.640
uniform,0.05,,8,12,4,10000,15707668516842392401,0.999900,0.000050,17.466,21.330,5.299,13.195,,,232128,53.640
uniform,0.05,,8,12,4,10000,4062403525201248500,0.999800,0.000087,17.531,21.732,5.380,13.225,,,232128,53.640
uniform,0.05,,8,12,4,10000,5380880507770764522,0.999800,0.000087,17.451,21.551,5.287,13.165,,,232128,53.640
uniform,0.1,,8,12,4,10000,11367048128334016189,0.995300,0.001975,17.610,21.841,6.270,14.408,,,232128,53.640
uniform,0.1,,8,12,4,10000,547894991860056883,0.996000,0.001737,17.633,21.652,6.215,13.666,,,232128,53.640
uniform,0.1,,8,12,4,10000,1364814141912166748,0.994600,0.002175,17.498,21.601,6.184,13.395,,,232128,53.640
uniform,0.2,,8,12,4,10000,9436434948544067457,0.928900,0.031750,17.465,21.611,7.894,17.524,,,232128,53.640
uniform,0.2,,8,12,4,10000,15447835092050391833,0.930500,0.030912,17.545,21.571,7.888,17.704,,,232128,53.640
uniform,0.2,,8,12,4,10000,17264690616149260417,0.925600,0.032688,17.516,21.521,7.875,17.633,,,232128,53.640
uniform,0.3,,8,12,4,10000,7926246277466214520,0.730500,0.126663,17.449,21.390,9.080,17.624,,,232128,53.640
