channel_model,param1,param2,k,n,depth,blocks,seed,block_recovery_rate,residual_packet_loss,encode_us_mean,encode_us_p99,decode_us_mean,decode_us_p99,interleaver_us_mean,interleaver_us_p99,peak_mem_bytes,latency_ms
periodic,10,1,8,12,1,10000,15101073321033496574,1.000000,0.000000,16.972,19.898,4.341,4.949,,,179136,17.160
periodic,20,1,8,12,1,10000,734699885367904249,1.000000,0.000000,16.957,19.878,4.341,4.929,,,179136,17.160
periodic,20,1,8,12,1,10000,4211095226099945924,1.000000,0.000000,16.926,19.687,4.417,4.909,,,179136,17.160
periodic,20,1,8,12,1,10000,16435365111697733088,1.000000,0.000000,16.942,19.877,4.335,4.809,,,179136,17.160
uniform,0.01,,8,12,2,10000,4959409812076644290,1.000000,0.000000,16.918,19.828,5.278,9.247,0.453,0.856,196800,29.320
uniform,0.01,,8,12,2,10000,13890427992222733445,1.000000,0.000000,17.399,22.292,4.660,8.916,0.489,0.967,196800,29.320
uniform,0.01,,8,12,2,10000,15201487656494518613,1.000000,0.000000,17.065,21.070,4.526,8.767,0.446,0.846,196800,29.320
uniform,0.05,,8,12,2,10000,9788490470041287948,0.999700,0.000125,17.448,25.538,5.303,12.844,0.464,0.891,196800,29.320
uniform,0.05,,8,12,2,10000,6802193928143874084,0.999800,0.000112,17.157,21.401,5.288,12.844,0.443,0.836,196800,29.320
uniform,0.05,,8,12,2,10000,17593376047385388227,0.999700,0.000112,16.930,19.817,5.353,12.844,0.426,0.826,196800,29.320
uniform,0.1,,8,12,2,10000,8226857876613277120,0.996300,0.001662,16.965,19.998,6.066,12.884,0.434,0.831,196800,29.320
uniform,0.1,,8,12,2,10000,370499095024154401,0.996600,0.001375,17.011,20.389,5.991,12.915,0.436,0.841,196800,29.320
uniform,0.1,,8,12,2,10000,1510278879716086916,0.996000,0.001713,17.050,20.609,6.071,13.465,0.447,0.846,196800,29.320
uniform,0.2,,8,12,2,10000,2836428315120278533,0.924200,0.033313,17.280,21.010,7.708,17.123,0.465,0.927,196800,29.320
uniform,0.2,,8,12,2,10000,12147308866205947659,0.926500,0.033075,17.051,20.508,7.666,17.132,0.467,0.872,196800,29.320
uniform,0.2,,8,12,2,10000,401411296077377378,0.927400,0.032637,17.010,20.198,7.658,17.113,0.474,0.871,196800,29.320
uniform,0.3,,8,12,2,10000,15622898619502831516,0.725700,0.127887,17.167,21.130,8.948,17.283,0.468,0.877,196800,29.320
uniform,0.3,,8,12,2,10000,2968069152817850167,0.724000,0.129625,17.401,26.500,9.102,17.984,0.478,0.906,196800,29.320
uniform,0.3,,8,12,2,10000,6131857487765795064,0.719200,0.131188,17.204,21.551,8.979,17.233,0.472,0.881,196800,29.320
ge,2,100,8,12,2,10000,12455481921278355789,0.998900,0.000525,17.442,23.044,5.921,17.142,0.465,0.912,196800,29.320
ge,2,100,8,12,2,10000,15613361901512625500,0.998700,0.000538,17.127,20.940,5.980,17.113,0.455,0.866,196800,29.320
ge,2,100,8,12,2,10000,8203585332658298892,0.999700,0.000063,17.026,20.589,6.052,17.123,0.454,0.856,196800,29.320
ge,5,100,8,12,2,10000,17072071809447833108,0.969300,0.017650,17.007,20.599,8.417,17.423,0.473,0.857,196800,29.320
ge,5,100,8,12,2,10000,6603360153045169540,0.963600,0.019938,17.353,24.296,8.870,18.655,0.505,0.882,196800,29.320
ge,5,100,8,12,2,10000,14363706017126727863,0.965300,0.019088,17.035,20.509,8.780,17.563,0.466,0.856,196800,29.320
